district,area,tehsil,unit,old_age,widow,disability,total,old_age_lakh,widow_lakh,disability_lakh
Udham Singh Nagar,Rural,Bajpur,Bajpur,9528,3671,1334,14726,143.04,55.065,20.01
Udham Singh Nagar,Rural,Bajpur,Kashipur,33,5,,38,0.495,0.075,
Udham Singh Nagar,Rural,Gadarpur,Gadarpur,14141,4153,1307,20295,212.715,62.355,19.65
Udham Singh Nagar,Rural,Jaspur,Jaspur,6454,2428,996,10697,96.81,36.42,14.955
Udham Singh Nagar,Rural,Kashipur,Kashipur,5700,2721,855,9516,86.4,40.815,12.825
Udham Singh Nagar,Rural,Khatima,Khatima,16121,4988,2020,23192,241.845,74.82,30.315
Udham Singh Nagar,Rural,Kichha,Rudrapur,8184,3369,1121,13065,123.525,50.625,16.815
Udham Singh Nagar,Rural,Rudrapur,Gadarpur,68,21,3,92,1.02,0.315,0.045
Udham Singh Nagar,Rural,Rudrapur,Rudrapur,427,106,28,566,6.405,1.59,0.42
Udham Singh Nagar,Rural,Sitarganj,Sitarganj,18838,4867,1693,25431,282.615,73.005,25.395
Udham Singh Nagar,Urban,Bajpur,Bazpur,1453,686,169,2311,2179500,1029000,253500
Udham Singh Nagar,Urban,Bajpur,Kelakhera,690,237,79,1006,1035000,355500,118500
Udham Singh Nagar,Urban,Bajpur,Sultanpur Patti,679,312,79,1070,1018500,468000,118500
Udham Singh Nagar,Urban,Gadarpur,Dineshpur,1257,450,102,1848,1885500,675000,154500
Udham Singh Nagar,Urban,Gadarpur,Gadarpur,1175,462,130,1793,1764000,693000,195000
Udham Singh Nagar,Urban,Gadarpur,Gularbhoj,95,21,9,126,142500,31500,13500
Udham Singh Nagar,Urban,Jaspur,Jaspur,3436,1308,368,5133,5154000,1962000,552000
Udham Singh Nagar,Urban,Jaspur,Mahuwadabra,385,142,46,617,577500,213000,69000
Udham Singh Nagar,Urban,Kashipur,GARHI NEGI NAGAR PANCHAYAT,23,7,6,37,34500,10500,9000
Udham Singh Nagar,Urban,Kashipur,Kashipur,5223,2737,625,8592,7834500,4111500,937500
Udham Singh Nagar,Urban,Kashipur,Mahuawakhera Ganj,536,241,46,851,804000,361500,69000
Udham Singh Nagar,Urban,Khatima,Khatima,1753,688,218,2659,2629500,1032000,330000
Udham Singh Nagar,Urban,Kichha,Kichha,2822,1339,301,4465,4233000,2008500,451500
Udham Singh Nagar,Urban,Kichha,Lalpur,,1,,1,,1500,
Udham Singh Nagar,Urban,Kichha,Nagla,30,20,2,52,45000,30000,3000
Udham Singh Nagar,Urban,Kichha,Rudrapur,4911,3355,781,9049,7366500,5032500,1171500
Udham Singh Nagar,Urban,Rudrapur,Laalpur,73,32,6,111,109500,48000,9000
Udham Singh Nagar,Urban,Rudrapur,Pantnagar Campus,6,8,6,20,9000,12000,9000
Udham Singh Nagar,Urban,Rudrapur,Rudrapur,2871,1020,203,4095,4306500,1530000,304500
Udham Singh Nagar,Urban,Sitarganj,Nanakmatta,286,53,24,363,429000,79500,36000
Udham Singh Nagar,Urban,Sitarganj,Shaktigarh,707,207,45,959,1060500,310500,67500
Udham Singh Nagar,Urban,Sitarganj,Sitarganj,2067,737,213,3018,3154500,1113000,319500
