जिले का नाम,वृद्धावस्था पेंशनर,विधवा पेंशनर,दिव्यांग पेंशनर,किसान पेंशनर,भरण-पोषण अनुदान पेंशनर,बौना पेंशनर,तीलू रौतेली पेंशनर,परित्यक्ता पेंशनर,कुल पेंशनर्स,वृद्धावस्था राशि(₹ लाख),विधवा राशि(₹ लाख),दिव्यांग राशि(₹ लाख),किसान राशि(₹ लाख),भरण-पोषण अनुदान राशि(₹ लाख),बौना राशि(₹ लाख),तीलू रौतेली राशि(₹ लाख),परित्यक्ता राशि(₹ लाख),कुल राशि(₹ लाख)
Almora,52068,18479,7536,,499,10,101,1017,78083,785.37,277.98,113.22,,3.493,0.12,1.212,12.228,1176.57
Bageshwar,19462,7642,3248,909,256,5,220,598,31261,293.73,114.675,48.72,10.908,1.792,0.06,2.64,7.176,468.033
Chamoli,18674,9758,3659,,237,12,238,252,32091,281.295,146.715,54.885,,1.659,0.144,2.856,3.024,482.895
Champawat,18136,7829,2863,1221,269,0,642,505,30049,275.535,117.435,42.945,14.652,1.883,0,7.704,6.072,450.567
Dehradun,78487,32626,11750,,1192,0,0,1355,122863,1188.615,489.735,176.52,,8.386,0,0,16.312,1854.87
Haridwar,121881,36432,13717,,1082,41,3,588,172030,1830.105,546.57,205.755,,7.574,0.492,0.036,7.092,2582.43
Nainital,46216,21682,6549,,696,11,52,1123,74447,693.24,325.26,98.235,,4.872,0.132,0.624,13.488,1116.735
Pauri Garhwal,32387,17366,7297,3904,385,16,0,387,60954,496.935,264.375,109.455,46.848,2.695,0.192,0,4.646,917.613
Pithoragarh,28105,12979,3828,2944,,0,0,529,47856,421.575,194.685,58.11,35.328,,0,0,6.352,709.698
Rudrapryag,16089,7907,2441,826,170,11,69,266,27263,242.025,118.605,36.72,10.068,1.19,0.132,0.828,3.192,407.418
Tehri Garhwal,52198,17190,8682,,452,4,160,610,78070,782.97,262.44,130.23,,3.164,0.048,1.92,7.32,1175.64
Udham Singh Nagar,109972,40392,12815,2615,1342,4,7,952,165794,1652.595,606.165,192.345,31.5,9.408,0.048,0.084,11.426,2482.605
Uttarkashi,23256,7347,4954,,400,11,675,176,35557,350.31,110.235,74.325,,2.8,0.132,8.1,2.116,534.87
