district,tehsil,block,panchayat,old_age,widow,disability,total
Almora,Almora,BHAISIACHHANA,ALISUPYAL,58,20,14,92
Almora,Almora,BHAISIACHHANA,BABURIYA NAYAL,34,11,5,50
Almora,Almora,BHAISIACHHANA,BAMANTILARI,26,2,11,39
Almora,Almora,BHAISIACHHANA,BAUDA,48,20,8,76
Almora,Almora,BHAISIACHHANA,BELWAAL GAON,1,1,,2
Almora,Almora,BHAISIACHHANA,BHAISIYACHHANA,108,42,21,171
Almora,Almora,BHAISIACHHANA,BHAISIYACHHANA BLANK,11,4,1,16
Almora,Almora,BHAISIACHHANA,BHETABADIYA,46,15,13,74
Almora,Almora,BHAISIACHHANA,BUNGA,67,17,9,93
Almora,Almora,BHAISIACHHANA,CHANAULI,27,10,5,42
Almora,Almora,BHAISIACHHANA,CHHANI,31,11,8,50
Almora,Almora,BHAISIACHHANA,DAHULNELI,42,11,11,64
Almora,Almora,BHAISIACHHANA,DALAKOT,37,11,12,60
Almora,Almora,BHAISIACHHANA,DASHAUN,53,16,10,79
Almora,Almora,BHAISIACHHANA,DEWDA,46,16,9,71
Almora,Almora,BHAISIACHHANA,DIGOLI,46,18,5,69
Almora,Almora,BHAISIACHHANA,DIYARI,87,21,12,120
Almora,Almora,BHAISIACHHANA,DUNGARLEKH,52,7,16,75
Almora,Almora,BHAISIACHHANA,DUNGRI,81,21,16,118
Almora,Almora,BHAISIACHHANA,GHUNYOLI,5,,,5
Almora,Almora,BHAISIACHHANA,HARADA,60,19,7,86
Almora,Almora,BHAISIACHHANA,HATAULA,60,14,10,84
Almora,Almora,BHAISIACHHANA,JINGAL,44,7,7,58
Almora,Almora,BHAISIACHHANA,JOGYUDA,35,9,9,53
Almora,Almora,BHAISIACHHANA,KALAUN,21,9,5,35
Almora,Almora,BHAISIACHHANA,KANCHULA,69,27,12,108
Almora,Almora,BHAISIACHHANA,KHANKARI,71,15,25,111
Almora,Almora,BHAISIACHHANA,KHASATILARI,51,19,20,90
Almora,Almora,BHAISIACHHANA,KUMOLI,70,22,10,102
Almora,Almora,BHAISIACHHANA,KUNJARTODA,19,6,3,28
Almora,Almora,BHAISIACHHANA,KUNJBARGAL,8,6,9,23
Almora,Almora,BHAISIACHHANA,KUNJKIMOLA,49,19,6,74
Almora,Almora,BHAISIACHHANA,LINGURTA,116,46,19,181
Almora,Almora,BHAISIACHHANA,MALLI DHONI,4,,,4
Almora,Almora,BHAISIACHHANA,NAIDI,33,11,25,69
Almora,Almora,BHAISIACHHANA,NAINIGONTH,13,1,,14
Almora,Almora,BHAISIACHHANA,NALI MALLI,99,28,11,138
Almora,Almora,BHAISIACHHANA,NALI TALLI,44,13,11,68
Almora,Almora,BHAISIACHHANA,NAUGAON,136,33,23,192
Almora,Almora,BHAISIACHHANA,NAYOLI,62,15,9,86
Almora,Almora,BHAISIACHHANA,PABHYA,44,16,14,74
Almora,Almora,BHAISIACHHANA,PALYU,65,15,10,90
Almora,Almora,BHAISIACHHANA,PANDEYTOLI,25,15,5,45
Almora,Almora,BHAISIACHHANA,PETSHAL,72,29,16,117
Almora,Almora,BHAISIACHHANA,POONAKOT,43,13,8,64
Almora,Almora,BHAISIACHHANA,SALLA,55,29,22,106
Almora,Almora,BHAISIACHHANA,SALLA BHATKOT,58,16,7,81
Almora,Almora,BHAISIACHHANA,SALYUDI,47,17,2,66
Almora,Almora,BHAISIACHHANA,SHEEL,20,11,6,37
Almora,Almora,BHAISIACHHANA,SIMKHALYA,18,4,1,23
Almora,Almora,BHAISIACHHANA,SUPAI,60,24,12,96
Almora,Almora,BHAISIACHHANA,THIKALNA,69,17,10,96
Almora,Almora,BHAISIACHHANA,TRINELI,87,15,7,109
Almora,Almora,BHAISIACHHANA,UTIYA,21,9,2,32
Almora,Almora,DHAULADEVI,BAGHAR,31,16,2,49
Almora,Almora,DHAULADEVI,BAMANSWAL,14,7,2,23
Almora,Almora,DHAULADEVI,BANTHOK,12,10,1,23
Almora,Almora,DHAULADEVI,BARTOLI,25,10,6,41
Almora,Almora,DHAULADEVI,BEENA,10,14,4,28
Almora,Almora,DHAULADEVI,CHAMI,,,,0
Almora,Almora,DHAULADEVI,CHAMUWA KHALSA,,,,0
Almora,Almora,DHAULADEVI,CHAURA,,,,0
Almora,Almora,DHAULADEVI,CHIL,1,7,,8
Almora,Almora,DHAULADEVI,CHITAULA,,,,0
Almora,Almora,DHAULADEVI,DANYA,2,15,2,19
Almora,Almora,DHAULADEVI,DASEELI,1,4,,5
Almora,Almora,DHAULADEVI,DASHAULA WADIYAR,1,9,,10
Almora,Almora,DHAULADEVI,DAULIGAR,1,12,,13
Almora,Almora,DHAULADEVI,DHAULADEVI BLANK,,,,0
Almora,Almora,DHAULADEVI,DUNAD,3,13,,16
Almora,Almora,DHAULADEVI,DUNGRA,2,26,1,29
Almora,Almora,DHAULADEVI,GAULI MAHAR,58,21,3,82
Almora,Almora,DHAULADEVI,GHASPAD,2,1,,3
Almora,Almora,DHAULADEVI,GIRCHOLA,22,11,4,37
Almora,Almora,DHAULADEVI,GOLI,1,10,1,12
Almora,Almora,DHAULADEVI,GUNADITYA,,,,0
Almora,Almora,DHAULADEVI,JAJAR,1,6,,7
