district,tehsil,block,panchayat,old_age,widow,disability,total
Udham Singh Nagar,Bajpur,Bajpur,Baintkhedi,95,78,14,189
Udham Singh Nagar,Bajpur,Bajpur,Bannakheda,466,195,50,725
Udham Singh Nagar,Bajpur,Bajpur,Banskheda,247,96,36,386
Udham Singh Nagar,Bajpur,Bajpur,Barheni,556,218,87,866
Udham Singh Nagar,Bajpur,Bajpur,Bazpur Gaon,391,132,78,604
Udham Singh Nagar,Bajpur,Bajpur,Beriya Daulat,456,189,48,700
Udham Singh Nagar,Bajpur,Bajpur,Bhavva Nagla,192,80,41,319
Udham Singh Nagar,Bajpur,Bajpur,Bheekampuri,285,105,32,428
Udham Singh Nagar,Bajpur,Bajpur,Chakarpur,348,176,67,598
Udham Singh Nagar,Bajpur,Bajpur,Dhansara,140,27,14,181
Udham Singh Nagar,Bajpur,Bajpur,Diyohari,134,39,18,193
Udham Singh Nagar,Bajpur,Bajpur,Ganeshpur,194,67,26,293
Udham Singh Nagar,Bajpur,Bajpur,Gobra,158,91,21,274
Udham Singh Nagar,Bajpur,Bajpur,Gumsani,169,43,14,229
Udham Singh Nagar,Bajpur,Bajpur,Hajeera,195,96,28,321
Udham Singh Nagar,Bajpur,Bajpur,Haripura,229,120,37,393
Udham Singh Nagar,Bajpur,Bajpur,Harlalpur,22,8,3,33
Udham Singh Nagar,Bajpur,Bajpur,Harsan,405,164,43,616
Udham Singh Nagar,Bajpur,Bajpur,Itavva,118,73,23,214
Udham Singh Nagar,Bajpur,Bajpur,Jagannathpur,197,49,19,270
Udham Singh Nagar,Bajpur,Bajpur,Jogipura,99,40,15,158
Udham Singh Nagar,Bajpur,Bajpur,Kanora,364,128,65,574
Udham Singh Nagar,Bajpur,Bajpur,Kela Bandwari,113,55,11,181
Udham Singh Nagar,Bajpur,Bajpur,Keshowala,113,40,11,171
Udham Singh Nagar,Bajpur,Bajpur,Khamariya,152,71,19,244
Udham Singh Nagar,Bajpur,Bajpur,Khambari,135,59,22,222
Udham Singh Nagar,Bajpur,Bajpur,Maheshpura,344,157,60,562
Udham Singh Nagar,Bajpur,Bajpur,Maholijangal,207,66,21,297
Udham Singh Nagar,Bajpur,Bajpur,Mudiyakala,425,123,74,622
Udham Singh Nagar,Bajpur,Bajpur,Namoona,284,129,25,442
Udham Singh Nagar,Bajpur,Bajpur,Nandpur Nar Ka Topa,399,147,48,598
Udham Singh Nagar,Bajpur,Bajpur,Rajpura No 2,141,37,15,198
Udham Singh Nagar,Bajpur,Bajpur,Ramnagar,308,79,34,438
Udham Singh Nagar,Bajpur,Bajpur,Rampura Sakar,165,48,24,238
Udham Singh Nagar,Bajpur,Bajpur,Rampurakaji,238,96,35,371
Udham Singh Nagar,Bajpur,Bajpur,Ratanpura,334,100,53,491
Udham Singh Nagar,Bajpur,Bajpur,Sarkara,304,64,42,411
Udham Singh Nagar,Bajpur,Bajpur,Shivpuri,156,49,19,236
Udham Singh Nagar,Bajpur,Bajpur,Tanda Aajam,172,84,35,295
Udham Singh Nagar,Bajpur,Bajpur,Vikarampur,78,53,7,145
Udham Singh Nagar,Bajpur,Kashipur,Mahata Van,33,5,,38
Udham Singh Nagar,Gadarpur,Gadarpur,Alakh Deva,71,31,6,128
Udham Singh Nagar,Gadarpur,Gadarpur,Alakh Devi,174,50,14,251
Udham Singh Nagar,Gadarpur,Gadarpur,Amarpur,,,,0
Udham Singh Nagar,Gadarpur,Gadarpur,Anand Kheda,546,180,58,837
Udham Singh Nagar,Gadarpur,Gadarpur,Bakeniya,352,72,36,474
Udham Singh Nagar,Gadarpur,Gadarpur,Barakheda,325,111,68,518
